Variable,Min Value,Max Value,WOE,Scorecard Points
dti,1.22,4.82,-0.4583,66.3
dti,4.82,7.23,-0.4231,66.5
dti,7.23,9.07,-0.3612,66.8
dti,9.07,10.67,-0.2564,67.4
dti,10.67,12.1,-0.2191,67.7
dti,12.1,13.45,-0.2034,67.8
dti,13.45,14.75,-0.1301,68.2
dti,14.75,16.08,-0.1216,68.2
dti,16.08,17.41,-0.0214,68.8
dti,17.41,18.81,0.0363,69.1
dti,18.81,20.25,0.0939,69.5
dti,20.25,21.82,0.1268,69.7
dti,21.82,23.55,0.1926,70.0
dti,23.55,25.71,0.2911,70.6
dti,25.71,28.84,0.4393,71.5
dti,28.84,33.83549999999988,0.588,72.3
grade,A,A,-1.2163,64.6
grade,B,B,-0.4269,67.4
grade,C,C,0.1205,69.4
grade,D,D,0.4938,70.7
grade,E,E,0.8622,72.0
grade,F,F,1.0975,72.8
grade,G,G,1.2445,73.3
int_rate,6.03,6.97,-1.6821,47.5
int_rate,6.97,7.9,-1.2865,52.5
int_rate,7.9,8.9,-0.903,57.4
int_rate,8.9,10.15,-0.7602,59.2
int_rate,10.15,10.99,-0.6115,61.1
int_rate,10.99,11.66,-0.502,62.5
int_rate,11.66,12.12,-0.4433,63.3
int_rate,12.12,12.99,-0.2712,65.5
int_rate,12.99,13.11,-0.1858,66.6
int_rate,13.11,13.98,-0.0628,68.1
int_rate,13.98,14.33,-0.0198,68.7
int_rate,14.33,14.99,0.0633,69.7
int_rate,14.99,15.61,0.1749,71.2
int_rate,15.61,16.29,0.3231,73.0
int_rate,16.29,17.27,0.4179,74.3
int_rate,17.27,18.25,0.5422,75.8
int_rate,18.25,19.47,0.5975,76.5
int_rate,19.47,21.49,0.805,79.2
int_rate,21.49,24.7,1.1069,83.0
issue_d,Apr-08,Apr-08,-0.1808,68.4
issue_d,Apr-09,Apr-09,-0.3647,67.8
issue_d,Apr-10,Apr-10,-0.8439,66.3
issue_d,Apr-11,Apr-11,-0.2832,68.1
issue_d,Apr-12,Apr-12,-0.2094,68.3
issue_d,Apr-13,Apr-13,0.1873,69.5
issue_d,Apr-14,Apr-14,0.1644,69.4
issue_d,Aug-07,Aug-07,0.2467,69.7
issue_d,Aug-08,Aug-08,-0.852,66.3
issue_d,Aug-09,Aug-09,-0.7266,66.7
issue_d,Aug-10,Aug-10,-0.2871,68.1
issue_d,Aug-11,Aug-11,-0.2201,68.3
issue_d,Aug-12,Aug-12,-0.1513,68.5
issue_d,Aug-13,Aug-13,0.1448,69.4
issue_d,Aug-14,Aug-14,0.1722,69.5
issue_d,Dec-07,Dec-07,0.0199,69.0
issue_d,Dec-08,Dec-08,-0.1588,68.4
issue_d,Dec-09,Dec-09,-0.8117,66.4
issue_d,Dec-10,Dec-10,-0.5793,67.2
issue_d,Dec-11,Dec-11,0.0551,69.1
issue_d,Dec-12,Dec-12,-0.3001,68.0
issue_d,Dec-13,Dec-13,0.0233,69.0
